Genome	BioSample	env_broad_scale	env_local_scale	env_medium	isolation_source
MGYG000004350	SAMEA3664739			NA	
MGYG000004885	SAMEA7852898	human-associated habitat	human gut	faeces	human gut
MGYG000002969	SAMEA5852474	human-associated habitat	human gut		human gut
MGYG000000188	SAMEA5849690	human-associated habitat	human gut	NA	human gut
MGYG000004731	SAMEA7846702	human-associated habitat	human gut	faeces	human gut
MGYG000004096	SAMEA3449218	human gut	human-associated habitat	faeces	
MGYG000004047	SAMEA3449197	human gut	human-associated habitat	faeces	
MGYG000000159	SAMEA5849660	human-associated habitat	human gut	NA	human gut
MGYG000000538	SAMEA5278474	human gut	human-associated habitat	faeces	human stool
MGYG000004381	SAMEA3664820			NA	
MGYG000001378	SAMEA5850881	human-associated habitat	human gut		human gut
MGYG000004854	SAMEA7852902	human-associated habitat	human gut	faeces	human gut
MGYG000004426	SAMEA3664962			NA	
MGYG000001641	SAMEA5851144	human-associated habitat	human gut	NA	human gut
MGYG000000001	SAMEA2247651			NA	
MGYG000003114	SAMEA5852618	human-associated habitat	human gut	NA	human gut
MGYG000002754	SAMEA5852259	human-associated habitat	human gut		human gut
MGYG000000812	SAMEA6686576	human-associated habitat	human gut	faeces	human gut
MGYG000000460	SAMEA5278343	human gut	human-associated habitat	faeces	human stool
MGYG000001587	SAMEA5851090	human-associated habitat	human gut	NA	human gut
MGYG000001220	SAMEA3136675	human gut	human-associated habitat	faeces	
MGYG000002492	SAMEA5851997	human-associated habitat	human gut	NA	human gut
MGYG000002335	SAMEA3146322	NA	NA	NA	NA
MGYG000003575	SAMEA5279490	human gut	human-associated habitat	faeces	human stool
MGYG000003907	SAMEA5853413	human-associated habitat	human gut		human gut
MGYG000003203	SAMEA5280026	human gut	human-associated habitat	faeces	human stool
MGYG000002443	SAMN05912802	NA	NA	NA	rectal cultures
MGYG000002831	SAMEA5278375	human gut	human-associated habitat	faeces	human stool
MGYG000004208	SAMEA3449258	human gut	human-associated habitat	faeces	
MGYG000001924	SAMEA6751124	human-associated habitat	human gut	faeces	human gut
MGYG000001556	SAMEA4415163			NA	
MGYG000000316	SAMEA2580153	human gut	human-associated habitat	faeces	
MGYG000002022	SAMEA6758127	human-associated habitat	human gut	faeces	human gut
MGYG000002785	SAMEA5852290	human-associated habitat	human gut	NA	human gut
MGYG000003662	SAMEA5278228	human gut	human-associated habitat	faeces	human stool
MGYG000000777	SAMD00036192	missing	missing	missing	
MGYG000001137	SAMEA2737808	human gut	human-associated habitat	faeces	
MGYG000004669	SAMEA7852893	human-associated habitat	human gut	faeces	human gut
MGYG000001690	SAMEA5851194	human-associated habitat	human gut	NA	human gut
MGYG000003480	SAMEA5278767	human gut	human-associated habitat	faeces	human stool
MGYG000003327	SAMEA5278881	human gut	human-associated habitat	faeces	human stool
MGYG000002915	SAMEA5852420	human-associated habitat	human gut		human gut
MGYG000002567	SAMEA5278517	human gut	human-associated habitat	faeces	human stool
MGYG000001472	SAMEA3139098			NA	
MGYG000001800	SAMEA6745013	human-associated habitat	human gut	faeces	human gut
MGYG000000595	SAMEA5850097	human-associated habitat	human gut		human gut
MGYG000000232	SAMEA5849734	human-associated habitat	human gut	NA	human gut
MGYG000002106	SAMEA5279998	human gut	human-associated habitat	faeces	human stool
MGYG000003746	SAMEA5853252	human-associated habitat	human gut		human gut
MGYG000000653	SAMEA4545511	Stool sample	Stool sample	Microbial DNA	
MGYG000001013	SAMEA3360668	ENVO:urban biome	ENVO:human-associated habitat	ENVO:feces	
MGYG000001765	SAMEA6742115	human-associated habitat	human gut	faeces	human gut
MGYG000000125	SAMEA104428642			NA	
MGYG000000682	SAMEA4545318	Stool sample	Stool sample	Microbial DNA	
MGYG000003030	SAMEA5852535	human-associated habitat	human gut		human gut
MGYG000003797	SAMEA5853303	human-associated habitat	human gut		human gut
MGYG000002670	SAMEA5278394	human gut	human-associated habitat	faeces	human stool
MGYG000000544	SAMEA5850046	human-associated habitat	human gut	NA	human gut
MGYG000000936	SAMEA103958149	human-associated habitat [ENVO:00009003]	intestine environment [ENVO:2100002]	feces	
MGYG000001304	SAMEA5850807	human-associated habitat	human gut		human gut
MGYG000004828	SAMEA7847936	human-associated habitat	human gut	faeces	human gut
MGYG000003823	SAMEA3879579	human-associated habitat	feces	feces	
MGYG000003451	SAMEA5278921	human gut	human-associated habitat	faeces	human stool
MGYG000003168	SAMEA5852674	human-associated habitat	human gut		human gut
MGYG000002728	SAMEA5852233	human-associated habitat	human gut		human gut
MGYG000004163	SAMEA3449242	human gut	human-associated habitat	faeces	
MGYG000002349	SAMEA5851853	human-associated habitat	human gut	NA	human gut
MGYG000003509	SAMEA5278820	human gut	human-associated habitat	faeces	human stool
MGYG000004502	SAMEA3665201			NA	
MGYG000001989	SAMEA6756058	human-associated habitat	human gut	faeces	human gut
MGYG000004274	NA	NA	NA	NA	NA
MGYG000001958	SAMEA6753257	human-associated habitat	human gut	faeces	human gut
MGYG000002398	SAMEA5851902	human-associated habitat	human gut	NA	human gut
MGYG000004615	SAMEA2466934	-	-	-	
MGYG000002560	NA	NA	NA	NA	NA
MGYG000002912	SAMEA5852417	human-associated habitat	human gut		human gut
MGYG000003320	SAMEA5278362	human gut	human-associated habitat	faeces	human stool
MGYG000000235	SAMEA5849737	human-associated habitat	human gut	NA	human gut
MGYG000000592	SAMEA5850094	human-associated habitat	human gut		human gut
MGYG000001807	SAMEA6745846	human-associated habitat	human gut	faeces	human gut
MGYG000001475	SAMEA2602670			NA	
