Genome	Specimen	env_broad_scale	env_local_scale	env_medium	isolation_source
MGYG000004350	Gut_unclassified	NA	NA	NA	NA
MGYG000004350	Gut_unclassified	NA	NA	NA	NA
MGYG000004350	Gut_unclassified	NA	NA	NA	NA
MGYG000004885	Gut_colon	human-associated habitat	human gut	faeces	human gut
MGYG000002969	Gut_unclassified	human-associated habitat	human gut	NA	human gut
MGYG000002969	Gut_unclassified	human-associated habitat	human gut	NA	human gut
MGYG000000188	Gut_unclassified	human-associated habitat	human gut	NA	human gut
MGYG000000188	Gut_unclassified	human-associated habitat	human gut	NA	human gut
MGYG000004731	Gut_colon	human-associated habitat	human gut	faeces	human gut
MGYG000004096	Gut_colon	human gut	human-associated habitat	faeces	NA
MGYG000004047	Gut_colon	human gut	human-associated habitat	faeces	NA
MGYG000000159	Gut_unclassified	human-associated habitat	human gut	NA	human gut
MGYG000000159	Gut_unclassified	human-associated habitat	human gut	NA	human gut
MGYG000000538	Gut_colon	human gut	human-associated habitat	faeces	human stool
MGYG000004381	Gut_unclassified	NA	NA	NA	NA
MGYG000004381	Gut_unclassified	NA	NA	NA	NA
MGYG000004381	Gut_unclassified	NA	NA	NA	NA
MGYG000001378	Gut_unclassified	human-associated habitat	human gut	NA	human gut
MGYG000001378	Gut_unclassified	human-associated habitat	human gut	NA	human gut
MGYG000004854	Gut_colon	human-associated habitat	human gut	faeces	human gut
MGYG000004426	Gut_unclassified	NA	NA	NA	NA
MGYG000004426	Gut_unclassified	NA	NA	NA	NA
MGYG000004426	Gut_unclassified	NA	NA	NA	NA
MGYG000001641	Gut_unclassified	human-associated habitat	human gut	NA	human gut
MGYG000001641	Gut_unclassified	human-associated habitat	human gut	NA	human gut
MGYG000000001	Gut_unclassified	NA	NA	NA	NA
MGYG000000001	Gut_unclassified	NA	NA	NA	NA
MGYG000000001	Gut_unclassified	NA	NA	NA	NA
MGYG000003114	Gut_unclassified	human-associated habitat	human gut	NA	human gut
MGYG000003114	Gut_unclassified	human-associated habitat	human gut	NA	human gut
MGYG000002754	Gut_unclassified	human-associated habitat	human gut	NA	human gut
MGYG000002754	Gut_unclassified	human-associated habitat	human gut	NA	human gut
MGYG000000812	Gut_colon	human-associated habitat	human gut	faeces	human gut
MGYG000000460	Gut_colon	human gut	human-associated habitat	faeces	human stool
MGYG000001587	Gut_unclassified	human-associated habitat	human gut	NA	human gut
MGYG000001587	Gut_unclassified	human-associated habitat	human gut	NA	human gut
MGYG000001220	Gut_colon	human gut	human-associated habitat	faeces	NA
MGYG000002492	Gut_unclassified	human-associated habitat	human gut	NA	human gut
MGYG000002492	Gut_unclassified	human-associated habitat	human gut	NA	human gut
MGYG000002335	Gut_unclassified	NA	NA	NA	NA
MGYG000002335	Gut_unclassified	NA	NA	NA	NA
MGYG000002335	Gut_unclassified	NA	NA	NA	NA
MGYG000003575	Gut_colon	human gut	human-associated habitat	faeces	human stool
MGYG000003907	Gut_unclassified	human-associated habitat	human gut	NA	human gut
MGYG000003907	Gut_unclassified	human-associated habitat	human gut	NA	human gut
MGYG000003203	Gut_colon	human gut	human-associated habitat	faeces	human stool
MGYG000002443	Gut_colon	NA	NA	NA	rectal cultures
MGYG000002831	Gut_colon	human gut	human-associated habitat	faeces	human stool
MGYG000004208	Gut_colon	human gut	human-associated habitat	faeces	NA
MGYG000001924	Gut_colon	human-associated habitat	human gut	faeces	human gut
MGYG000001556	Gut_unclassified	NA	NA	NA	NA
MGYG000001556	Gut_unclassified	NA	NA	NA	NA
MGYG000001556	Gut_unclassified	NA	NA	NA	NA
MGYG000000316	Gut_colon	human gut	human-associated habitat	faeces	NA
MGYG000002022	Gut_colon	human-associated habitat	human gut	faeces	human gut
MGYG000002785	Gut_unclassified	human-associated habitat	human gut	NA	human gut
MGYG000002785	Gut_unclassified	human-associated habitat	human gut	NA	human gut
MGYG000003662	Gut_colon	human gut	human-associated habitat	faeces	human stool
MGYG000000777	Gut_unclassified	missing	missing	missing	NA
MGYG000001137	Gut_colon	human gut	human-associated habitat	faeces	NA
MGYG000004669	Gut_colon	human-associated habitat	human gut	faeces	human gut
MGYG000001690	Gut_unclassified	human-associated habitat	human gut	NA	human gut
MGYG000001690	Gut_unclassified	human-associated habitat	human gut	NA	human gut
MGYG000003480	Gut_colon	human gut	human-associated habitat	faeces	human stool
MGYG000003327	Gut_colon	human gut	human-associated habitat	faeces	human stool
MGYG000002915	Gut_unclassified	human-associated habitat	human gut	NA	human gut
MGYG000002915	Gut_unclassified	human-associated habitat	human gut	NA	human gut
MGYG000002567	Gut_colon	human gut	human-associated habitat	faeces	human stool
MGYG000001472	Gut_unclassified	NA	NA	NA	NA
MGYG000001472	Gut_unclassified	NA	NA	NA	NA
MGYG000001472	Gut_unclassified	NA	NA	NA	NA
MGYG000001800	Gut_colon	human-associated habitat	human gut	faeces	human gut
MGYG000000595	Gut_unclassified	human-associated habitat	human gut	NA	human gut
MGYG000000595	Gut_unclassified	human-associated habitat	human gut	NA	human gut
MGYG000000232	Gut_unclassified	human-associated habitat	human gut	NA	human gut
MGYG000000232	Gut_unclassified	human-associated habitat	human gut	NA	human gut
MGYG000002106	Gut_colon	human gut	human-associated habitat	faeces	human stool
MGYG000003746	Gut_unclassified	human-associated habitat	human gut	NA	human gut
MGYG000003746	Gut_unclassified	human-associated habitat	human gut	NA	human gut
MGYG000000653	Gut_colon	Stool sample	Stool sample	Microbial DNA	NA
MGYG000001013	Gut_colon	ENVO:urban biome	ENVO:human-associated habitat	ENVO:feces	NA
MGYG000001765	Gut_colon	human-associated habitat	human gut	faeces	human gut
MGYG000000125	Gut_unclassified	NA	NA	NA	NA
MGYG000000125	Gut_unclassified	NA	NA	NA	NA
MGYG000000125	Gut_unclassified	NA	NA	NA	NA
MGYG000000682	Gut_colon	Stool sample	Stool sample	Microbial DNA	NA
MGYG000003030	Gut_unclassified	human-associated habitat	human gut	NA	human gut
MGYG000003030	Gut_unclassified	human-associated habitat	human gut	NA	human gut
MGYG000003797	Gut_unclassified	human-associated habitat	human gut	NA	human gut
MGYG000003797	Gut_unclassified	human-associated habitat	human gut	NA	human gut
MGYG000002670	Gut_colon	human gut	human-associated habitat	faeces	human stool
MGYG000000544	Gut_unclassified	human-associated habitat	human gut	NA	human gut
MGYG000000544	Gut_unclassified	human-associated habitat	human gut	NA	human gut
MGYG000000936	Gut_colon	human-associated habitat [ENVO:00009003]	intestine environment [ENVO:2100002]	feces	NA
MGYG000001304	Gut_unclassified	human-associated habitat	human gut	NA	human gut
MGYG000001304	Gut_unclassified	human-associated habitat	human gut	NA	human gut
MGYG000004828	Gut_colon	human-associated habitat	human gut	faeces	human gut
MGYG000003823	Gut_colon	human-associated habitat	feces	feces	NA
MGYG000003451	Gut_colon	human gut	human-associated habitat	faeces	human stool
MGYG000003168	Gut_unclassified	human-associated habitat	human gut	NA	human gut
MGYG000003168	Gut_unclassified	human-associated habitat	human gut	NA	human gut
MGYG000002728	Gut_unclassified	human-associated habitat	human gut	NA	human gut
MGYG000002728	Gut_unclassified	human-associated habitat	human gut	NA	human gut
MGYG000004163	Gut_colon	human gut	human-associated habitat	faeces	NA
MGYG000002349	Gut_unclassified	human-associated habitat	human gut	NA	human gut
MGYG000002349	Gut_unclassified	human-associated habitat	human gut	NA	human gut
MGYG000003509	Gut_colon	human gut	human-associated habitat	faeces	human stool
MGYG000004502	Gut_unclassified	NA	NA	NA	NA
MGYG000004502	Gut_unclassified	NA	NA	NA	NA
MGYG000004502	Gut_unclassified	NA	NA	NA	NA
MGYG000001989	Gut_colon	human-associated habitat	human gut	faeces	human gut
MGYG000004274	Gut_unclassified	NA	NA	NA	NA
MGYG000004274	Gut_unclassified	NA	NA	NA	NA
MGYG000004274	Gut_unclassified	NA	NA	NA	NA
MGYG000001958	Gut_colon	human-associated habitat	human gut	faeces	human gut
MGYG000002398	Gut_unclassified	human-associated habitat	human gut	NA	human gut
MGYG000002398	Gut_unclassified	human-associated habitat	human gut	NA	human gut
MGYG000004615	Gut_unclassified	-	-	-	NA
MGYG000002560	Gut_unclassified	NA	NA	NA	NA
MGYG000002560	Gut_unclassified	NA	NA	NA	NA
MGYG000002560	Gut_unclassified	NA	NA	NA	NA
MGYG000002912	Gut_unclassified	human-associated habitat	human gut	NA	human gut
MGYG000002912	Gut_unclassified	human-associated habitat	human gut	NA	human gut
