Genome	Specimen	env_broad_scale	env_local_scale	env_medium	isolation_source
MGYG000298242	Oral_cavity	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298155	Oral_saliva	human oral	human oral	saliva	saliva
MGYG000298534	Oral_plaque	NA	NA	NA	supragingival plaque isolated from 88 juvenile twins
MGYG000298071	Oral_saliva	human oral	human oral	saliva	saliva
MGYG000298410	Oral_plaque	NA	NA	NA	dental plaque
MGYG000299147	Oral_cavity	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298689	Oral_cavity	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298076	Oral_cavity	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298417	Oral_cavity	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298624	Oral_cavity	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298183	Oral_cavity	Human oral metagenome	Human oral cavity	Saliva	human oral metagenome
MGYG000299064	Oral_cavity	Human oral metagenome	Human oral cavity	Human oral cavity	human oral metagenome
MGYG000298237	Oral_saliva	Human saliva metagenome	Human oral cavity	Saliva	human saliva metagenome
MGYG000298541	Oral_cavity	Human oral metagenome	Human oral cavity	Saliva	human saliva metagenome
MGYG000298933	Oral_cavity	Human oral metagenome	Human oral cavity	Saliva	human saliva metagenome
MGYG000298078	Oral_cavity	Human oral metagenome	Human oral cavity	Saliva	human oral metagenome
MGYG000299259	Oral_cavity	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298817	Oral_cavity	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298999	Oral_cavity	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298948	Oral_cavity	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298230	Oral_cavity	Human oral metagenome	Human oral cavity	Saliva	human oral metagenome
MGYG000298651	Oral_cavity	NA	NA	NA	tongue scraping
MGYG000298127	Oral_cavity	human-associated habitat	human oral cavity	not provided	not provided
MGYG000299089	Oral_saliva	human oral	human oral	saliva	saliva
MGYG000298279	Oral_saliva	human oral	human oral	saliva	saliva
MGYG000298321	Oral_saliva	human oral	human oral	saliva	saliva
MGYG000298457	Oral_cavity	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298573	Oral_cavity	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298888	Oral_cavity	human-associated habitat	human oral cavity	not provided	not provided
MGYG000299023	Oral_saliva	Human saliva metagenome	Human oral cavity	Saliva	human saliva metagenome
MGYG000298202	Oral_cavity	Human oral metagenome	Human oral cavity	Saliva	human oral metagenome
MGYG000298508	Oral_cavity	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298326	Oral_cavity	NA	NA	NA	tongue scraping
MGYG000298796	Oral_cavity	human-associated habitat	human oral cavity	not provided	not provided
