Genome	Sample_accession
MGYG000000001	ERS370061
MGYG000000002	ERS370064
MGYG000000003	ERS370070
MGYG000000004	ERS370072
MGYG000000005	ERS417217
MGYG000000006	ERS417220
MGYG000000007	ERS417221
MGYG000000008	ERS417222
MGYG000000009	ERS417224
MGYG000000010	ERS417228
MGYG000000011	ERS417230
MGYG000000012	ERS417231
MGYG000000013	ERS417236
MGYG000000014	ERS417246
MGYG000000015	ERS417210
MGYG000000016	ERS417248
MGYG000000017	ERS417253
MGYG000000018	ERS417254
MGYG000000019	ERS417256
MGYG000000020	ERS417263
MGYG000000021	ERS417266
MGYG000000022	ERS417301
MGYG000000023	ERS417304
MGYG000000024	ERS417216
MGYG000000025	ERS417229
MGYG000000026	ERS2046316
MGYG000000027	ERS852385
MGYG000000028	ERS852387
MGYG000000029	ERS852397
MGYG000000030	ERS852376
MGYG000000031	ERS852405
MGYG000000032	ERS852407
MGYG000000033	ERS852410
MGYG000000034	ERS852412
MGYG000000035	ERS852414
MGYG000000036	ERS852416
MGYG000000037	ERS852422
MGYG000000038	ERS852423
MGYG000000039	ERS852426
MGYG000000040	ERS852433
MGYG000000041	ERS852440
MGYG000000042	ERS852458
MGYG000000043	ERS852460
MGYG000000044	ERS852463
MGYG000000045	ERS852467
MGYG000000046	ERS852469
MGYG000000047	ERS852471
MGYG000000048	ERS852473
MGYG000000049	ERS852474
MGYG000000050	ERS852477
MGYG000000051	ERS852489
MGYG000000052	ERS2046326
MGYG000000053	ERS2046327
MGYG000000054	ERS2046328
MGYG000000055	ERS2046317
MGYG000000056	ERS2046318
MGYG000000057	ERS2046324
MGYG000000058	ERS852500
MGYG000000059	ERS852507
MGYG000000060	ERS852492
MGYG000000061	ERS852514
MGYG000000062	ERS852516
MGYG000000063	ERS852517
MGYG000000064	ERS852519
MGYG000000065	ERS852521
MGYG000000066	ERS852531
MGYG000000067	ERS852532
MGYG000000068	ERS852539
MGYG000000069	ERS852541
MGYG000000070	ERS852543
MGYG000000071	ERS852545
MGYG000000072	ERS852546
MGYG000000073	ERS852553
