Genome	Sample_accession
MGYG000298013	SAMN14570735
MGYG000298020	ERS6080737
MGYG000298021	SAMN14570687
MGYG000298022	SAMN14570798
MGYG000298023	ERS7876796
MGYG000298024	ERS7766700
MGYG000298028	ERS6080710
MGYG000298030	ERS6079592
MGYG000298035	ERS6080673
MGYG000298038	ERS7766798
MGYG000298039	SAMN14602638
MGYG000298040	ERS6080615
MGYG000298041	SAMN14570677
MGYG000298043	ERS6080717
MGYG000298045	ERS7766766
MGYG000298046	ERS6080595
MGYG000298049	SAMN14570856
MGYG000298050	ERS6080655
MGYG000298052	ERS7766736
MGYG000298053	ERS6080714
MGYG000298054	ERS6080705
MGYG000298055	ERS6080697
MGYG000298059	ERS6080765
MGYG000298063	ERS6080675
MGYG000298065	SAMN14570857
MGYG000298066	ERS7766744
MGYG000298067	ERS6076927
MGYG000298068	SAMN14602653
MGYG000298069	ERS6080653
MGYG000298070	SAMN14602634
MGYG000298071	SAMN14571080
MGYG000298072	ERS7766753
MGYG000298076	ERS6080652
MGYG000298077	ERS6080681
MGYG000298078	ERS7621676
MGYG000298079	ERS6080609
MGYG000298080	SAMN14570706
MGYG000298083	ERS7621711
MGYG000298085	ERS6080599
MGYG000298088	ERS6080742
MGYG000298089	SAMN14570602
MGYG000298090	ERS6080642
MGYG000298091	ERS7876852
MGYG000298092	ERS7766704
MGYG000298093	SAMN14602654
MGYG000298094	ERS7876861
MGYG000298101	ERS7766773
MGYG000298102	SAMN14571089
MGYG000298105	ERS7621743
MGYG000298106	ERS7599761
MGYG000298111	ERS6080601
MGYG000298113	ERS7621741
MGYG000298117	ERS6080607
MGYG000298118	SAMN14602648
MGYG000298125	SAMN14570658
MGYG000298127	ERS6080762
MGYG000298128	SAMN14571030
MGYG000298133	SAMN14570606
MGYG000298134	ERS7766763
MGYG000298136	ERS6076928
MGYG000298137	ERS6080755
MGYG000298138	ERS6080668
MGYG000298139	ERS6080638
MGYG000298142	SAMN14570724
MGYG000298144	ERS6080784
MGYG000298146	ERS6076634
MGYG000298148	SAMN14570640
MGYG000298153	ERS6080613
MGYG000298154	ERS6080632
MGYG000298155	SAMN14570611
MGYG000298156	SAMN14571085
MGYG000298159	SAMN14570924
MGYG000298160	ERS6080766
MGYG000298165	ERS6080768
MGYG000298171	SAMN14602633
MGYG000298173	ERS6080670
MGYG000298177	ERS7599756
MGYG000298178	ERS7599779
MGYG000298181	ERS7766717
MGYG000298182	ERS6080711
MGYG000298183	ERS7621712
MGYG000298187	ERS7766731
MGYG000298190	ERS6080763
MGYG000298193	ERS6080787
MGYG000298197	ERS7766760
MGYG000298200	ERS7621673
MGYG000298202	ERS7621648
MGYG000298206	ERS6080586
MGYG000298207	ERS6080736
MGYG000298211	ERS6080744
MGYG000298213	ERS7621630
MGYG000298218	ERS7766772
MGYG000298221	ERS7599744
MGYG000298222	ERS6080689
MGYG000298225	ERS6080637
MGYG000298230	ERS7621641
MGYG000298236	SAMN14570673
MGYG000298237	ERS7876850
MGYG000298242	ERS6080634
MGYG000298256	ERS6080754
MGYG000298265	ERS6080739
MGYG000298266	ERS6080730
MGYG000298267	ERS7766727
MGYG000298279	SAMN14571050
MGYG000298290	SAMN14570986
MGYG000298292	ERS7876830
MGYG000298296	SAMN14570590
MGYG000298301	ERS6080605
MGYG000298302	ERS6080646
MGYG000298303	ERS7766746
MGYG000298309	ERS6080719
MGYG000298315	ERS7876814
MGYG000298319	ERS7766715
MGYG000298321	SAMN14571017
MGYG000298322	ERS7766754
MGYG000298326	SAMN14602671
MGYG000298328	ERS7621705
MGYG000298329	ERS7766733
MGYG000298333	ERS6080585
MGYG000298334	SAMN14571065
MGYG000298337	SAMN14570756
MGYG000298338	SAMN14571033
MGYG000298341	ERS7766758
MGYG000298342	ERS6080569
MGYG000298344	ERS6080685
MGYG000298346	ERS6080594
MGYG000298347	ERS7599790
MGYG000298348	ERS6080726
MGYG000298350	ERS6080596
MGYG000298352	ERS6079598
MGYG000298358	ERS6080662
MGYG000298359	ERS7766743
MGYG000298360	ERS6080674
MGYG000298363	ERS6080643
MGYG000298365	ERS6080567
MGYG000298369	SAMN14571069
MGYG000298370	ERS6076925
MGYG000298371	SAMN14571072
MGYG000298375	ERS7621710
MGYG000298376	SAMN14570676
MGYG000298377	ERS7621722
MGYG000298378	ERS6080734
MGYG000298379	SAMN14570635
MGYG000298380	SAMN14570700
MGYG000298381	ERS6080606
MGYG000298383	ERS7766807
MGYG000298388	SAMN14570638
MGYG000298389	ERS7365000
MGYG000298392	ERS6080743
MGYG000298393	ERS7365005
MGYG000298394	ERS7621689
MGYG000298400	SAMN14570729
MGYG000298401	ERS7766801
MGYG000298402	ERS6080706
MGYG000298403	SAMN14570589
MGYG000298404	ERS6080664
MGYG000298405	SAMN14570627
MGYG000298410	SAMN14602645
MGYG000298417	ERS6080603
MGYG000298418	SAMN14602656
MGYG000298421	SAMN14570803
MGYG000298424	SAMN14570575
MGYG000298425	ERS6080598
MGYG000298432	ERS6080724
MGYG000298433	ERS6080695
MGYG000298437	ERS6080738
MGYG000298438	ERS6080725
MGYG000298443	ERS6080584
MGYG000298445	ERS7766723
MGYG000298449	ERS6080731
MGYG000298452	ERS6080573
MGYG000298453	ERS6080582
MGYG000298455	ERS6080771
MGYG000298457	ERS6080645
MGYG000298463	SAMN14570663
MGYG000298466	ERS6080661
MGYG000298467	SAMN14570670
MGYG000298471	ERS6080764
MGYG000298473	SAMN14570582
MGYG000298474	ERS7876794
MGYG000298475	ERS6080656
MGYG000298476	ERS7766802
MGYG000298478	ERS6080741
MGYG000298479	ERS7766752
MGYG000298482	ERS7621746
MGYG000298484	ERS6080671
MGYG000298490	SAMN14570728
MGYG000298494	ERS6080611
MGYG000298496	ERS6080783
MGYG000298503	ERS6080752
MGYG000298504	ERS7766759
MGYG000298505	ERS7621636
MGYG000298506	ERS7621729
MGYG000298508	ERS6080649
MGYG000298512	ERS7766797
MGYG000298513	ERS6080629
MGYG000298514	ERS6080721
MGYG000298523	ERS6080770
MGYG000298524	ERS7365003
MGYG000298526	ERS7621731
MGYG000298530	ERS6080669
MGYG000298531	ERS7766710
MGYG000298534	SAMN10134573
MGYG000298536	ERS6080788
MGYG000298538	ERS6080648
MGYG000298541	ERS7766800
MGYG000298542	ERS6080785
MGYG000298543	ERS6080740
MGYG000298545	SAMN14570623
MGYG000298547	ERS7552209
MGYG000298551	ERS6080572
MGYG000298555	ERS6080639
MGYG000298556	ERS6080786
MGYG000298558	SAMN14570796
MGYG000298559	ERS7876853
MGYG000298562	SAMN14570608
MGYG000298563	ERS7364993
MGYG000298568	ERS7621662
MGYG000298570	ERS7621720
MGYG000298571	SAMN14602649
MGYG000298573	ERS6080733
MGYG000298576	SAMN14570620
MGYG000298582	SAMN14570593
MGYG000298584	ERS6080631
MGYG000298591	ERS6080792
MGYG000298594	ERS6080577
MGYG000298596	ERS7766722
MGYG000298605	ERS7621730
MGYG000298608	SAMN14602669
MGYG000298617	ERS6080690
MGYG000298619	ERS7599782
MGYG000298621	ERS7365001
MGYG000298624	ERS6080756
MGYG000298626	ERS7621639
MGYG000298627	SAMN14602682
MGYG000298628	SAMN14570660
MGYG000298629	ERS6080713
MGYG000298636	ERS6080647
MGYG000298642	ERS7599762
MGYG000298645	ERS7876797
MGYG000298646	ERS7621679
MGYG000298651	SAMN14602668
MGYG000298654	ERS7876809
MGYG000298659	SAMN14602637
MGYG000298661	ERS6080583
MGYG000298665	ERS7621638
MGYG000298667	ERS6080696
MGYG000298669	ERS6080780
MGYG000298670	SAMN14570671
MGYG000298673	ERS6080729
MGYG000298675	ERS7599773
MGYG000298676	ERS6080692
MGYG000298678	ERS6080578
MGYG000298685	ERS7766712
MGYG000298689	ERS6080676
MGYG000298690	ERS6080610
MGYG000298692	ERS6080574
MGYG000298697	ERS7876879
MGYG000298702	ERS6080722
MGYG000298714	SAMN14571027
MGYG000298716	ERS7766806
MGYG000298725	ERS7876819
MGYG000298726	ERS7621670
MGYG000298727	SAMN14570725
MGYG000298728	SAMN14570855
MGYG000298732	SAMN14602655
MGYG000298733	SAMN14570982
MGYG000298742	ERS6080616
MGYG000298745	SAMN14602644
MGYG000298749	ERS6080592
MGYG000298750	ERS7599797
MGYG000298751	ERS6080623
MGYG000298754	SAMN14571090
MGYG000298757	ERS7766770
MGYG000298759	ERS6080745
MGYG000298760	ERS7766750
MGYG000298769	ERS6080604
MGYG000298770	ERS6080579
MGYG000298773	SAMN14570907
MGYG000298777	ERS7876808
MGYG000298779	SAMN14602647
MGYG000298785	ERS6080778
MGYG000298787	ERS6080644
MGYG000298788	ERS6080635
MGYG000298793	ERS6079594
MGYG000298796	ERS6080774
MGYG000298799	ERS6080688
MGYG000298803	ERS6080641
MGYG000298806	ERS7766795
MGYG000298808	ERS6080654
MGYG000298811	SAMN14570662
MGYG000298817	ERS6080672
MGYG000298823	ERS6080794
MGYG000298824	SAMN14570808
MGYG000298826	SAMN14570861
MGYG000298830	ERS6080682
MGYG000298831	ERS6080679
MGYG000298832	ERS6080776
MGYG000298837	ERS7621643
MGYG000298840	ERS7876857
MGYG000298842	ERS6080657
MGYG000298843	SAMN14602670
MGYG000298849	SAMN14570710
MGYG000298851	SAMN14570694
MGYG000298852	ERS7876805
MGYG000298857	ERS7876856
MGYG000298858	ERS6080748
MGYG000298860	ERS6080699
MGYG000298861	SAMN14570607
MGYG000298864	ERS6080757
MGYG000298866	ERS7599767
MGYG000298874	SAMN14602663
MGYG000298875	ERS6080727
MGYG000298886	ERS6080693
MGYG000298888	ERS6080790
MGYG000298892	ERS6080665
MGYG000298893	SAMN14570835
MGYG000298895	SAMN14570959
MGYG000298896	ERS6080779
MGYG000298899	ERS6080761
MGYG000298902	ERS6080746
MGYG000298905	ERS6080576
MGYG000298915	SAMN14570699
MGYG000298917	ERS7876806
MGYG000298918	ERS7766769
MGYG000298919	ERS6080625
MGYG000298923	ERS7766718
MGYG000298927	ERS7599735
MGYG000298929	SAMN14570734
MGYG000298932	SAMN14570895
MGYG000298933	ERS7766748
MGYG000298937	SAMN14570642
MGYG000298942	ERS7599749
MGYG000298943	ERS6080772
MGYG000298944	ERS7621637
MGYG000298945	SAMN14570672
MGYG000298947	SAMN14602641
MGYG000298948	ERS6080715
MGYG000298952	ERS7766728
MGYG000298953	ERS6080767
MGYG000298956	ERS6080633
MGYG000298960	SAMN14570610
MGYG000298961	SAMN14570780
MGYG000298963	ERS6080622
MGYG000298964	ERS6080708
MGYG000298965	SAMN14570632
MGYG000298966	ERS6080789
MGYG000298969	SAMN14570664
MGYG000298972	ERS6080663
MGYG000298974	ERS7599775
MGYG000298976	SAMN14602681
MGYG000298979	ERS7766781
MGYG000298985	SAMN14570850
MGYG000298991	ERS7876823
MGYG000298993	ERS6080591
MGYG000298999	ERS6080686
MGYG000299001	SAMN14570584
MGYG000299003	ERS6080701
MGYG000299004	ERS6080691
MGYG000299008	ERS6080581
MGYG000299010	ERS7876828
MGYG000299015	ERS7876838
MGYG000299017	ERS7599742
MGYG000299022	ERS7876875
MGYG000299023	ERS7876812
MGYG000299025	SAMN14570622
MGYG000299027	SAMN14570636
MGYG000299028	ERS7766776
MGYG000299031	ERS6080651
MGYG000299033	ERS7876818
MGYG000299041	ERS7599765
MGYG000299042	ERS7876835
MGYG000299043	ERS7766774
MGYG000299050	ERS6080627
MGYG000299052	ERS7876840
MGYG000299054	ERS6080760
MGYG000299057	SAMN14570890
MGYG000299062	ERS6080707
MGYG000299064	ERS7599751
MGYG000299067	ERS7876874
MGYG000299068	ERS7621626
MGYG000299070	ERS7766779
MGYG000299073	ERS6080769
MGYG000299075	ERS7621671
MGYG000299076	ERS6080628
MGYG000299079	ERS6080658
MGYG000299080	ERS7621699
MGYG000299081	SAMN14602651
MGYG000299083	ERS6080570
MGYG000299089	SAMN14570615
MGYG000299092	ERS6076939
MGYG000299094	ERS7766709
MGYG000299101	ERS6080687
MGYG000299103	ERS6080619
MGYG000299105	SAMN14570614
MGYG000299109	SAMN14570601
MGYG000299111	SAMN14570596
MGYG000299114	ERS7766707
MGYG000299120	ERS6080773
MGYG000299126	ERS6080614
MGYG000299128	ERS6080718
MGYG000299129	ERS6077028
MGYG000299134	SAMN14602673
MGYG000299136	SAMN14571053
MGYG000299137	ERS6080608
MGYG000299138	SAMN14602678
MGYG000299145	ERS7876824
MGYG000299147	ERS6080590
MGYG000299148	SAMN14570568
MGYG000299153	ERS7766768
MGYG000299160	SAMN14570661
MGYG000299164	ERS7766708
MGYG000299167	SAMN14570631
MGYG000299168	ERS6080680
MGYG000299173	ERS7621665
MGYG000299174	SAMN14570604
MGYG000299175	ERS6080659
MGYG000299177	SAMN14570775
MGYG000299179	ERS7876804
MGYG000299188	ERS6076632
MGYG000299190	ERS6080575
MGYG000299192	ERS7766720
MGYG000299193	ERS6080775
MGYG000299199	ERS6080716
MGYG000299200	ERS7876793
MGYG000299201	ERS7621693
MGYG000299202	ERS7621650
MGYG000299205	ERS6080597
MGYG000299207	ERS7621657
MGYG000299211	ERS7621744
MGYG000299212	ERS6080750
MGYG000299215	ERS6080565
MGYG000299216	ERS7621677
MGYG000299223	SAMN14571046
MGYG000299227	SAMN14570595
MGYG000299231	ERS7599792
MGYG000299235	SAMN14602662
MGYG000299236	ERS7599781
MGYG000299237	ERS6076923
MGYG000299240	ERS7621739
MGYG000299246	SAMN14602650
MGYG000299249	ERS7766741
MGYG000299251	SAMN14570723
MGYG000299252	ERS6080700
MGYG000299253	SAMN14570795
MGYG000299256	ERS6080782
MGYG000299258	ERS7766739
MGYG000299259	ERS6080683
MGYG000299265	SAMN14570654
MGYG000299270	ERS7365004
MGYG000299272	ERS6080759
MGYG000299273	ERS7599803
