genome_id	metagenome_id	genome_length	num_contigs	n50	num_16s	num_5s	num_23s	num_trna	completeness	contamination	quality_score	mimag_quality	otu_id	ecosystem	ecosystem_category	ecosystem_type	habitat	longitude	latitude
3300007803_15	3300007803	1278095	132	12612	1.0	1.0	1.0	14.0	65.83	2.2	54.83	MQ	OTU-9009	d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Veillonellales;f__Veillonellaceae;g__Veillonella;s__Veillonella rogosae	Human	Digestive system	Human	-77.1012	39.0043
3300007803_19	3300007803	1135045	137	9930	0.0	0.0	0.0	7.0	68.56	0.62	65.46	MQ	OTU-1221	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter_A;s__	Human	Digestive system	Human	-77.1012	39.0043
3300007803_10	3300007803	1557142	78	26736	1.0	0.0	0.0	22.0	54.52	0.64	51.32	MQ	OTU-14680	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella nanceiensis	Human	Digestive system	Human	-77.1012	39.0043
3300007803_26	3300007803	874859	6	245865	0.0	0.0	0.0	28.0	61.24	1.12	55.64	MQ	OTU-16994	d__Bacteria;p__Patescibacteria;c__Gracilibacteria;o__Absconditabacterales;f__X112;g__;s__	Human	Digestive system	Human	-77.1012	39.0043
3300007803_9	3300007803	1612842	11	228954	0.0	0.0	0.0	37.0	90.34	0.48	87.94	MQ	OTU-5259	d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Solobacterium;s__	Human	Digestive system	Human	-77.1012	39.0043
3300007803_8	3300007803	1657448	61	40931	1.0	1.0	1.0	18.0	55.3	0.0	55.3	MQ	OTU-7258	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Capnocytophaga;s__	Human	Digestive system	Human	-77.1012	39.0043
3300007803_5	3300007803	1979162	116	27585	1.0	0.0	0.0	17.0	94.54	3.59	76.59	MQ	OTU-8087	d__Bacteria;p__Firmicutes;c__Bacilli;o__Staphylococcales;f__Gemellaceae;g__Gemella;s__Gemella sanguinis	Human	Digestive system	Human	-77.1012	39.0043
3300007803_4	3300007803	2110433	117	36342	1.0	2.0	1.0	34.0	94.7	4.54	72.0	HQ	OTU-14182	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Tissierellales;f__Helcococcaceae;g__Parvimonas;s__	Human	Digestive system	Human	-77.1012	39.0043
3300007803_7	3300007803	1779982	69	39587	1.0	1.0	1.0	21.0	97.2	0.0	97.2	MQ	OTU-4772	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Peptostreptococcaceae;g__Peptostreptococcus;s__	Human	Digestive system	Human	-77.1012	39.0043
3300007803_6	3300007803	1851988	173	13482	1.0	1.0	1.0	32.0	87.08	3.15	71.33	MQ	OTU-17343	d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium;s__	Human	Digestive system	Human	-77.1012	39.0043
3300007803_3	3300007803	2482248	80	43851	1.0	3.0	0.0	31.0	89.71	1.97	79.86	MQ	OTU-920	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella pallens	Human	Digestive system	Human	-77.1012	39.0043
3300029412_22	3300029412	1989075	85	30628	1.0	3.0	3.0	33.0	74.72	1.02	69.62	MQ	OTU-7210	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Subdoligranulum;s__Subdoligranulum formicilis	Human	Digestive system	Human feces	-76.6259	39.2885
3300029412_21	3300029412	2021963	22	151504	2.0	3.0	1.0	55.0	91.62	0.0	91.62	HQ	OTU-7477	d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Veillonellales;f__Megasphaeraceae;g__Megasphaera;s__GCF_001546855.1	Human	Digestive system	Human feces	-76.6259	39.2885
3300029412_12	3300029412	3278601	24	208679	1.0	3.0	1.0	54.0	96.64	1.01	91.59	HQ	OTU-3007	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__DTU089;g__Clostridium_A;s__Clostridium_A leptum	Human	Digestive system	Human feces	-76.6259	39.2885
3300029412_15	3300029412	2514201	251	13115	3.0	2.0	1.0	52.0	95.57	1.9	86.07	HQ	OTU-3617	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Betaproteobacteriales;f__Burkholderiaceae;g__Parasutterella;s__Parasutterella excrementihominis	Human	Digestive system	Human feces	-76.6259	39.2885
3300029412_14	3300029412	2562736	21	167670	3.0	1.0	3.0	37.0	97.32	0.0	97.32	MQ	OTU-8646	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospira;s__GCA_000437735.1	Human	Digestive system	Human feces	-76.6259	39.2885
3300029412_11	3300029412	3783835	294	17457	2.0	4.0	1.0	54.0	90.26	0.13	89.61	HQ	OTU-16537	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides distasonis	Human	Digestive system	Human feces	-76.6259	39.2885
3300029412_19	3300029412	2099051	49	68075	0.0	3.0	1.0	57.0	100.0	0.0	100.0	MQ	OTU-3807	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Slackia_A;s__	Human	Digestive system	Human feces	-76.6259	39.2885
