Genome	Count
MGYG000298013	28
MGYG000298020	291
MGYG000298021	511
MGYG000298022	125
MGYG000298023	189
MGYG000298024	1
MGYG000298028	94
MGYG000298030	102
MGYG000298035	294
MGYG000298038	1
MGYG000298039	178
MGYG000298040	35
MGYG000298041	423
MGYG000298043	149
MGYG000298045	3
MGYG000298046	149
MGYG000298049	444
MGYG000298050	256
MGYG000298052	1
MGYG000298053	86
MGYG000298054	219
MGYG000298055	65
MGYG000298059	271
MGYG000298063	40
MGYG000298065	365
MGYG000298066	1
MGYG000298067	363
MGYG000298068	34
MGYG000298069	173
MGYG000298070	272
MGYG000298071	216
MGYG000298072	1
MGYG000298076	165
MGYG000298077	21
MGYG000298078	237
MGYG000298079	94
MGYG000298080	548
MGYG000298083	83
MGYG000298085	45
MGYG000298088	76
MGYG000298089	187
MGYG000298090	12
MGYG000298091	123
MGYG000298092	1
MGYG000298093	53
MGYG000298094	181
MGYG000298101	5
MGYG000298102	243
MGYG000298105	50
MGYG000298106	215
MGYG000298111	119
MGYG000298113	123
MGYG000298117	145
MGYG000298118	26
MGYG000298125	68
MGYG000298127	184
MGYG000298128	168
MGYG000298133	182
MGYG000298134	1
MGYG000298136	115
MGYG000298137	54
MGYG000298138	42
MGYG000298139	111
MGYG000298142	691
MGYG000298144	82
MGYG000298146	68
MGYG000298148	376
MGYG000298153	229
MGYG000298154	147
MGYG000298155	237
MGYG000298156	202
MGYG000298159	85
MGYG000298160	120
MGYG000298165	108
MGYG000298171	68
MGYG000298173	43
MGYG000298177	307
MGYG000298178	123
MGYG000298181	4
MGYG000298182	242
MGYG000298183	257
MGYG000298187	2
MGYG000298190	279
MGYG000298193	21
MGYG000298197	1
MGYG000298200	111
MGYG000298202	13
MGYG000298206	298
MGYG000298207	66
MGYG000298211	212
MGYG000298213	134
MGYG000298218	2
MGYG000298221	127
MGYG000298222	10
MGYG000298225	294
MGYG000298230	198
MGYG000298236	185
MGYG000298237	187
MGYG000298242	75
MGYG000298256	286
MGYG000298265	173
MGYG000298266	223
MGYG000298267	1
MGYG000298279	94
MGYG000298290	192
MGYG000298292	58
MGYG000298296	168
MGYG000298301	22
MGYG000298302	56
MGYG000298303	10
MGYG000298309	12
MGYG000298315	154
MGYG000298319	2
MGYG000298321	108
MGYG000298322	21
MGYG000298326	107
MGYG000298328	60
MGYG000298329	1
MGYG000298333	243
MGYG000298334	115
MGYG000298337	34
MGYG000298338	114
MGYG000298341	1
MGYG000298342	99
MGYG000298344	46
MGYG000298346	83
MGYG000298347	224
MGYG000298348	51
MGYG000298350	32
MGYG000298352	304
MGYG000298358	125
MGYG000298359	1
MGYG000298360	149
MGYG000298363	269
MGYG000298365	302
MGYG000298369	301
MGYG000298370	26
MGYG000298371	136
MGYG000298375	83
MGYG000298376	120
MGYG000298377	110
MGYG000298378	322
MGYG000298379	82
MGYG000298380	702
MGYG000298381	188
MGYG000298383	1
MGYG000298388	83
MGYG000298389	43
MGYG000298392	42
MGYG000298393	241
MGYG000298394	155
MGYG000298400	495
MGYG000298401	1
MGYG000298402	237
MGYG000298403	72
MGYG000298404	157
MGYG000298405	17
MGYG000298410	31
MGYG000298417	100
MGYG000298418	21
MGYG000298421	215
MGYG000298424	227
MGYG000298425	265
MGYG000298432	60
MGYG000298433	73
MGYG000298437	77
MGYG000298438	105
MGYG000298443	330
MGYG000298445	1
MGYG000298449	246
MGYG000298452	316
MGYG000298453	18
MGYG000298455	31
MGYG000298457	5
MGYG000298463	157
MGYG000298466	29
MGYG000298467	26
MGYG000298471	201
MGYG000298473	60
MGYG000298474	135
MGYG000298475	81
MGYG000298476	2
MGYG000298478	99
MGYG000298479	1
MGYG000298482	94
MGYG000298484	15
