Genome	Genome_type	Length	N_contigs	N50	GC_content	Completeness	Contamination	rRNA_5S	rRNA_16S	rRNA_23S	tRNAs	Genome_accession	Species_rep	Lineage	Sample_accession	Study_accession	Country	Continent	FTP_download
MGYG000000001	Isolate	3219617	137	47258	28.26	98.59	0.7	88.24	99.74	99.83	20	GUT_GENOME000001	MGYG000000001	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Peptostreptococcaceae;g__GCA-900066495;s__GCA-900066495 sp902362365	ERS370061	ERP105624	United Kingdom	Europe	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v2.0/all_genomes/MGYG0000000/MGYG000000001/genomes1/MGYG000000001.gff.gz
MGYG000000002	Isolate	4433109	101	109267	42.6	99.37	0.0	82.35	95.37	86.19	19	GUT_GENOME000004	MGYG000000002	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A faecis	ERS370064	ERP105624	United Kingdom	Europe	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v2.0/all_genomes/MGYG0000000/MGYG000000002/genomes1/MGYG000000002.gff.gz
MGYG000000003	Isolate	3229518	35	158570	58.52	100.0	0.0	94.96	99.67	99.66	20	GUT_GENOME000008	MGYG000000003	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes shahii	ERS370070	ERP105624	United Kingdom	Europe	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v2.0/all_genomes/MGYG0000000/MGYG000000003/genomes1/MGYG000000003.gff.gz
MGYG000000004	Isolate	3698896	105	90297	54.19	98.66	0.22	93.28	99.67	99.83	20	GUT_GENOME000010	MGYG000000004	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Anaerotruncus;s__Anaerotruncus colihominis	ERS370072	ERP105624	United Kingdom	Europe	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v2.0/all_genomes/MGYG0000000/MGYG000000004/genomes1/MGYG000000004.gff.gz
MGYG000000005	Isolate	3930428	32	350032	28.59	99.3	0.0	89.08	99.67	99.83	20	GUT_GENOME000017	MGYG000000005	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Peptostreptococcaceae;g__Terrisporobacter;s__Terrisporobacter glycolicus_A	ERS417217	ERP105624	United Kingdom	Europe	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v2.0/all_genomes/MGYG0000000/MGYG000000005/genomes1/MGYG000000005.gff.gz
MGYG000000006	Isolate	2822527	36	121380	32.65	99.26	1.39	94.96	99.74	99.76	20	GUT_GENOME000020	MGYG000000006	d__Bacteria;p__Firmicutes;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus xylosus	ERS417220	ERP105624	United Kingdom	Europe	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v2.0/all_genomes/MGYG0000000/MGYG000000006/genomes1/MGYG000000006.gff.gz
MGYG000000007	Isolate	2016167	24	124464	35.52	98.94	0.0	94.12	99.67	99.83	20	GUT_GENOME000021	MGYG000000007	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus intestinalis	ERS417221	ERP105624	United Kingdom	Europe	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v2.0/all_genomes/MGYG0000000/MGYG000000007/genomes1/MGYG000000007.gff.gz
MGYG000000008	Isolate	1971706	40	87745	34.34	99.22	0.78	94.96	99.67	99.76	20	GUT_GENOME000022	MGYG000000008	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus johnsonii	ERS417222	ERP105624	United Kingdom	Europe	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v2.0/all_genomes/MGYG0000000/MGYG000000008/genomes1/MGYG000000008.gff.gz
MGYG000000009	Isolate	2219792	155	31439	39.8	99.21	0.0	94.12	80.82	98.29	20	GUT_GENOME000024	MGYG000000009	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Ligilactobacillus;s__Ligilactobacillus murinus	ERS417224	ERP105624	United Kingdom	Europe	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v2.0/all_genomes/MGYG0000000/MGYG000000009/genomes1/MGYG000000009.gff.gz
MGYG000000010	Isolate	2726400	58	74967	31.83	99.45	1.66	95.8	99.74	99.76	20	GUT_GENOME000029	MGYG000000010	d__Bacteria;p__Firmicutes;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus_A;s__Staphylococcus_A lentus	ERS417228	ERP105624	United Kingdom	Europe	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v2.0/all_genomes/MGYG0000000/MGYG000000010/genomes1/MGYG000000010.gff.gz
MGYG000000011	Isolate	2927352	14	523819	32.39	99.44	1.39	0.0	99.74	99.76	20	GUT_GENOME000030	MGYG000000011	d__Bacteria;p__Firmicutes;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus xylosus_B	ERS417230	ERP105624	United Kingdom	Europe	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v2.0/all_genomes/MGYG0000000/MGYG000000011/genomes1/MGYG000000011.gff.gz
MGYG000000012	Isolate	4053580	22	610128	43.87	99.81	0.2	94.96	99.67	99.79	19	GUT_GENOME000031	MGYG000000012	d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus subtilis	ERS417231	ERP105624	United Kingdom	Europe	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v2.0/all_genomes/MGYG0000000/MGYG000000012/genomes1/MGYG000000012.gff.gz
MGYG000000013	Isolate	6368149	56	251050	42.15	99.08	0.08	94.96	69.41	88.14	20	GUT_GENOME000035	MGYG000000013	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides sp902362375	ERS417236	ERP105624	United Kingdom	Europe	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v2.0/all_genomes/MGYG0000000/MGYG000000013/genomes1/MGYG000000013.gff.gz
MGYG000000014	Isolate	4564499	77	140666	28.52	99.19	0.0	94.96	99.74	99.83	20	GUT_GENOME000046	MGYG000000014	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium;s__Clostridium butyricum	ERS417246	ERP105624	United Kingdom	Europe	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v2.0/all_genomes/MGYG0000000/MGYG000000014/genomes1/MGYG000000014.gff.gz
MGYG000000015	Isolate	4878649	76	102700	55.32	98.78	0.1	95.8	99.67	99.86	20	GUT_GENOME000047	MGYG000000015	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Enterobacter;s__Enterobacter mori	ERS417210	ERP105624	United Kingdom	Europe	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v2.0/all_genomes/MGYG0000000/MGYG000000015/genomes1/MGYG000000015.gff.gz
MGYG000000016	Isolate	2568487	48	108113	45.3	97.32	0.0	0.0	99.61	99.86	20	GUT_GENOME000049	MGYG000000016	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Anaerotignaceae;g__Anaerotignum;s__Anaerotignum sp001304995	ERS417248	ERP105624	United Kingdom	Europe	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v2.0/all_genomes/MGYG0000000/MGYG000000016/genomes1/MGYG000000016.gff.gz
MGYG000000017	Isolate	2173090	64	64343	59.71	100.0	0.81	94.12	99.61	99.45	20	GUT_GENOME000054	MGYG000000017	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella sp902362275	ERS417253	ERP105624	United Kingdom	Europe	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v2.0/all_genomes/MGYG0000000/MGYG000000017/genomes1/MGYG000000017.gff.gz
MGYG000000018	Isolate	3280214	34	193753	43.2	99.33	0.0	0.0	99.74	99.79	20	GUT_GENOME000055	MGYG000000018	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Coprococcus;s__Coprococcus eutactus	ERS417254	ERP105624	United Kingdom	Europe	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v2.0/all_genomes/MGYG0000000/MGYG000000018/genomes1/MGYG000000018.gff.gz
MGYG000000019	Isolate	4947669	88	130316	56.16	99.22	0.18	95.8	99.67	87.9	19	GUT_GENOME000057	MGYG000000019	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Enterobacter;s__Enterobacter cloacae_O	ERS417256	ERP105624	United Kingdom	Europe	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v2.0/all_genomes/MGYG0000000/MGYG000000019/genomes1/MGYG000000019.gff.gz
MGYG000000020	Isolate	1923680	101	39114	41.82	99.18	0.0	94.12	99.74	99.83	20	GUT_GENOME000064	MGYG000000020	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Latilactobacillus;s__Latilactobacillus curvatus	ERS417263	ERP105624	United Kingdom	Europe	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v2.0/all_genomes/MGYG0000000/MGYG000000020/genomes1/MGYG000000020.gff.gz
MGYG000000021	Isolate	1945993	42	80261	40.13	99.46	0.54	0.0	99.67	99.83	20	GUT_GENOME000067	MGYG000000021	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Limosilactobacillus;s__Limosilactobacillus vaginalis_A	ERS417266	ERP105624	United Kingdom	Europe	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v2.0/all_genomes/MGYG0000000/MGYG000000021/genomes1/MGYG000000021.gff.gz
MGYG000000022	Isolate	3052239	70	117809	56.44	100.0	0.0	94.12	81.87	99.83	20	GUT_GENOME000092	MGYG000000022	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii_C	ERS417301	ERP105624	United Kingdom	Europe	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v2.0/all_genomes/MGYG0000000/MGYG000000022/genomes1/MGYG000000022.gff.gz
MGYG000000023	Isolate	2130728	26	135306	41.65	98.81	0.17	93.28	99.74	99.76	20	GUT_GENOME000094	MGYG000000023	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus parasanguinis	ERS417304	ERP105624	United Kingdom	Europe	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v2.0/all_genomes/MGYG0000000/MGYG000000023/genomes1/MGYG000000023.gff.gz
MGYG000000024	Isolate	3641600	33	215844	28.16	99.3	0.7	89.08	99.74	99.83	20	GUT_GENOME000104	MGYG000000024	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Peptostreptococcaceae;g__Paraclostridium;s__Paraclostridium bifermentans	ERS417216	ERP105624	United Kingdom	Europe	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v2.0/all_genomes/MGYG0000000/MGYG000000024/genomes1/MGYG000000024.gff.gz
MGYG000000025	Isolate	2822370	39	300583	33.06	99.45	1.1	94.96	99.74	99.76	20	GUT_GENOME000106	MGYG000000025	d__Bacteria;p__Firmicutes;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus nepalensis	ERS417229	ERP105624	United Kingdom	Europe	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v2.0/all_genomes/MGYG0000000/MGYG000000025/genomes1/MGYG000000025.gff.gz
MGYG000000026	Isolate	2527406	197	27326	34.16	100.0	0.0	74.79	99.61	99.83	20	GUT_GENOME000109	MGYG000000026	d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelatoclostridiaceae;g__Catenibacterium;s__Catenibacterium mitsuokai	ERS2046316	ERP105624	United Kingdom	Europe	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v2.0/all_genomes/MGYG0000000/MGYG000000026/genomes1/MGYG000000026.gff.gz
MGYG000000027	Isolate	2393573	52	109197	58.19	99.81	0.55	94.12	99.74	86.8	20	GUT_GENOME000111	MGYG000000027	d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Selenomonadales;f__Selenomonadaceae;g__Mitsuokella;s__Mitsuokella jalaludinii	ERS852385	ERP012217	United Kingdom	Europe	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v2.0/all_genomes/MGYG0000000/MGYG000000027/genomes1/MGYG000000027.gff.gz
MGYG000000028	Isolate	2458431	26	229862	36.66	99.33	2.01	0.0	99.61	99.69	20	GUT_GENOME000113	MGYG000000028	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Anaerostipes;s__Anaerostipes hadrus_A	ERS852387	ERP012217	United Kingdom	Europe	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v2.0/all_genomes/MGYG0000000/MGYG000000028/genomes1/MGYG000000028.gff.gz
