GCF_ID	Specimen	BGC_Count	MIBiG	Source	Representative_BGC	GCF_Type	Mean_Length	Mean_Gene_Count
GCF_00000379	Gut_unclassified	2	BGC0000407	EBI	BGC0000407	NRPS	52215.0	18.5
GCF_00000471	Gut_colon,Urogenital_unclassified,Gut_unclassified	5	BGC0000504	EBI,NCBI_PRJNA28331	BGC0000504	RiPPs	13491.6	15.0
GCF_00000479	Skin_head	7	BGC0000508,BGC0000514	HMP,NCBI_PRJNA28331	BGC0000514	RiPPs	14322.3	14.0
GCF_00000496	Urogenital_vagina	4	BGC0000532	HMP	BGC0000532	RiPPs	12942.8	14.5
GCF_00000502	Gut_unclassified	4	BGC0000535,BGC0000536,BGC0000538	EBI	BGC0000538	RiPPs	15547.0	12.2
GCF_00000528	Gut_unclassified	5	BGC0000564,BGC0001170	EBI,NCBI_PRJNA28331	BGC0000564	RiPPs	17678.4	16.0
GCF_00000592	Urogenital_vagina	2	BGC0000628	NCBI_PRJNA28331	BGC0000628	RiPPs	20021.5	19.5
GCF_00000604	Gut_unclassified	4	BGC0000638,BGC0000639,BGC0000641	EBI	BGC0000641	Terpene	11539.2	11.2
GCF_00000799	Gut_unclassified	3	BGC0000853,BGC0002052	EBI	BGC0000853	Others	5950.3	5.3
GCF_00000883	Gut_colon	2	BGC0000939	EBI	BGC0000939	Others	15446.5	9.0
GCF_00000886	Gut_unclassified	4	BGC0000942	EBI	BGC0000942	Others	11704.0	10.5
GCF_00000962	Gut_unclassified	2	BGC0001021	EBI	BGC0001021	NRPS	43709.5	28.5
GCF_00001081	Gut_unclassified	2	BGC0001152	EBI	BGC0001152	NRPS	38277.5	17.5
GCF_00001118	Gut_unclassified	5	BGC0000408,BGC0001153,BGC0001192,BGC0002653	EBI	BGC0001192	NRPS	48185.6	10.4
GCF_00001308	Gut_unclassified	2	BGC0001415	EBI	BGC0001415	PKSother	35287.5	13.0
GCF_00001388	Gut_bile_duct,Gut_unclassified,Urogenital_urinary_tract	17	BGC0001499	JGI,EBI,NCBI_PRJNA28331	BGC0001499	Others	13464.8	10.9
GCF_00001485	Urogenital_vagina,Gut_unclassified,Oral_unclassified	9	BGC0000619,BGC0001388,BGC0001602	HMP,EBI,NCBI_PRJNA28331	BGC0001602	RiPPs	9813.0	12.9
GCF_00001500		1	BGC0001618		BGC0001618	RiPPs	8595.0	8.0
GCF_00001703	Gut_unclassified	3	BGC0000449,BGC0001843	EBI	BGC0001843	NRPS	70219.0	22.3
GCF_00002097	Gut_unclassified	4	BGC0001478,BGC0002305,BGC0002690	EBI	BGC0002305	Others	9123.2	6.2
GCF_00002168	Gut_unclassified	2	BGC0002381	EBI	BGC0002381	PKSother	35002.0	27.5
GCF_00002259	Skin_unclassified	7	BGC0002475	JGI	BGC0002475	NRPS	36378.6	22.9
GCF_00002273	Gut_unclassified	2	BGC0002490	EBI	BGC0002490	Others	14042.0	13.5
GCF_00002406	Urogenital_vagina,Urogenital_urinary_tract	4	BGC0002639	HMP,NCBI_PRJNA28331	BGC0002639	NRPS	23873.8	21.5
GCF_00002451		1	BGC0002689		BGC0002689	NRPS	23151.0	19.0
GCF_00002496	Gut_unclassified	2	BGC0000309	EBI	BGC0000309,HMBGC00000001	NRPS,Others	38926.3	32.3
GCF_00002497	Gut_unclassified	2	BGC0000310	EBI	BGC0000310	NRPS	65832.0	26.0
GCF_00002499	Gut_unclassified	3	BGC0000381	EBI	HMBGC00000004	NRPS	56490.0	32.3
GCF_00002500	Gut_unclassified	1		EBI	HMBGC00000005	Others	55307.0	24.0
GCF_00002502	Gut_unclassified	1		EBI	HMBGC00000007	Others	63598.0	47.0
GCF_00002506	Gut_unclassified	2	BGC0001627	EBI	BGC0001627	NRPS	29172.5	17.5
GCF_00002510	Skin_head	1		HMP	HMBGC00000015	NRPS	2004.0	1.0
GCF_00002511	Skin_head	1		HMP	HMBGC00000016	NRPS	1242.0	1.0
GCF_00002512	Skin_head	1		HMP	HMBGC00000017	NRPS	2303.0	1.0
GCF_00002513	Respiratory_upper,Gut_unclassified	2		HMP,EBI	HMBGC00000018	Others	57697.5	48.0
GCF_00002516	Respiratory_upper,Respiratory_unclassified,Gut_unclassified	4		HMP,JGI,EBI	HMBGC00000021	NRPS	33531.5	27.8
GCF_00002517	Respiratory_upper	1		HMP	HMBGC00000022	NRPS	4432.0	1.0
GCF_00002524	Respiratory_upper	1		HMP	HMBGC00000029	NRPS	32392.0	19.0
GCF_00002525	Urogenital_vagina	1		HMP	HMBGC00000030	NRPS	1910.0	1.0
GCF_00002526	Urogenital_vagina	1		HMP	HMBGC00000031	NRPS	2964.0	1.0
GCF_00002527	Respiratory_upper	1		HMP	HMBGC00000032	NRPS	34970.0	18.0
GCF_00002528	Respiratory_upper	1		HMP	HMBGC00000033	NRPS	1955.0	1.0
GCF_00002535	Respiratory_upper	1		HMP	HMBGC00000040	PKS-NRP_Hybrids,NRPS,PKSother	23755.0	10.0
GCF_00002536	Skin_head	1		HMP	HMBGC00000041	NRPS	1424.0	1.0
GCF_00002537	Respiratory_upper,Skin_head	2		HMP	HMBGC00000042	NRPS	3106.5	2.0
GCF_00002539	Skin_head	1		HMP	HMBGC00000044	NRPS	11810.0	2.0
GCF_00002543	Skin_head	8		HMP	HMBGC00000048	NRPS	12549.9	4.8
GCF_00002544	Skin_head	1		HMP	HMBGC00000049	NRPS	3858.0	1.0
GCF_00002554	Skin_head	10		HMP	HMBGC00000059	NRPS	38307.9	16.2
GCF_00002555	Skin_head	1		HMP	HMBGC00000060	NRPS	2953.0	1.0
GCF_00002556	Skin_head	1		HMP	HMBGC00000061	NRPS	3036.0	1.0
GCF_00002557	Skin_head	1		HMP	HMBGC00000062	NRPS	2050.0	1.0
GCF_00002558	Skin_head,Respiratory_upper	7		HMP	HMBGC00000063	NRPS	1390.9	1.0
GCF_00002559	Skin_head	3		HMP	HMBGC00000064	NRPS	2948.3	1.0
GCF_00002566	Respiratory_upper	1		HMP	HMBGC00000071	NRPS	2636.0	1.0
GCF_00002567	Respiratory_upper	1		HMP	HMBGC00000072	NRPS	2498.0	1.0
GCF_00002568	Respiratory_upper	1		HMP	HMBGC00000073	NRPS	1167.0	1.0
GCF_00002569	Respiratory_upper	1		HMP	HMBGC00000074	NRPS	1060.0	1.0
GCF_00002572	Skin_head	3		HMP	HMBGC00000077	NRPS	9434.7	3.0
GCF_00002573	Skin_head	1		HMP	HMBGC00000078	NRPS	2341.0	1.0
GCF_00002574	Respiratory_upper	1		HMP	HMBGC00000079	NRPS	4616.0	3.0
GCF_00002578	Respiratory_upper	1		HMP	HMBGC00000083	NRPS	22901.0	18.0
GCF_00002579	Respiratory_upper	2		HMP	HMBGC00000084	NRPS	5039.0	3.0
GCF_00002581	Respiratory_upper	1		HMP	HMBGC00000086	NRPS	51523.0	30.0
GCF_00002582	Respiratory_upper	1		HMP	HMBGC00000087	NRPS	5571.0	3.0
GCF_00002583	Respiratory_upper	1		HMP	HMBGC00000088	NRPS	1355.0	1.0
GCF_00002587	Skin_unclassified	1		JGI	HMBGC00000092	Others,RiPPs	45988.0	35.0
GCF_00002588	Respiratory_upper,Skin_head,Skin_unclassified,Gut_unclassified,Urogenital_vagina	6		HMP,JGI,EBI,NCBI_PRJNA28331	HMBGC00000093	PKSother,NRPS,PKS-NRP_Hybrids	70572.1	59.9
GCF_00002589	Skin_head	1		HMP	HMBGC00000094	NRPS	5199.0	3.0
GCF_00002590	Skin_head	1		HMP	HMBGC00000095	NRPS	6437.0	4.0
GCF_00002591	Skin_head	1		HMP	HMBGC00000096	NRPS	2749.0	1.0
GCF_00002592	Skin_head,Respiratory_upper	2		HMP	HMBGC00000097	NRPS	1647.5	1.0
GCF_00002594	Skin_head	1		HMP	HMBGC00000099	NRPS,Others,RiPPs	24218.0	22.0
GCF_00002595	Respiratory_upper,Skin_head	2		HMP	HMBGC00000100	Others,NRPS	52089.0	51.0
GCF_00002598	Gut_unclassified	1		EBI	HMBGC00000103	NRPS	26495.0	19.0
GCF_00002599	Skin_head,Gut_unclassified,Urogenital_vagina	3		HMP,EBI,NCBI_PRJNA28331	HMBGC00000104	NRPS	35499.0	34.0
GCF_00002600	Skin_head	1		HMP	HMBGC00000105	NRPS	1094.0	1.0
GCF_00002601	Skin_head	1		HMP	HMBGC00000106	NRPS	5314.0	3.0
GCF_00002602	Respiratory_upper	1		HMP	HMBGC00000107	NRPS	16717.0	15.0
GCF_00002605	Respiratory_upper,Oral_unclassified,Oral_saliva,Oral_cavity	4		HMP,JGI,EBI,NCBI_PRJNA28331	HMBGC00000110	NRPS	51767.8	33.2
GCF_00002606	Respiratory_upper	1		HMP	HMBGC00000111	NRPS	6282.0	5.0
GCF_00002607	Respiratory_upper	1		HMP	HMBGC00000112	NRPS	2468.0	1.0
GCF_00002608	Respiratory_upper	1		HMP	HMBGC00000113	NRPS	41137.0	47.0
GCF_00002609	Respiratory_upper	1		HMP	HMBGC00000114	NRPS	9135.0	11.0
GCF_00002610	Respiratory_upper	1		HMP	HMBGC00000115	NRPS	2239.0	1.0
GCF_00002611	Respiratory_upper	1		HMP	HMBGC00000116	NRPS	1083.0	1.0
GCF_00002612	Respiratory_upper	1		HMP	HMBGC00000117	NRPS	1251.0	1.0
GCF_00002615	Respiratory_upper,Skin_head	3		HMP	HMBGC00000120	NRPS	2686.7	1.0
GCF_00002620	Respiratory_upper,Skin_head	5		HMP	HMBGC00000125	NRPS	9093.0	6.4
GCF_00002625	Respiratory_upper	1		HMP	HMBGC00000130	NRPS	5684.0	1.0
GCF_00002626	Respiratory_upper,Urogenital_unclassified	2		HMP,NCBI_PRJNA28331	HMBGC00000131	NRPS	16924.5	19.0
GCF_00002627	Skin_head	1		HMP	HMBGC00000132	NRPS	5101.0	3.0
GCF_00002629	Skin_head	1		HMP	HMBGC00000134	Others,RiPPs	25710.0	32.0
GCF_00002630	Skin_head,Skin_unclassified	3		HMP,JGI	HMBGC00000135	NRPS	15582.7	19.0
GCF_00002634	Skin_head,Skin_unclassified	2		HMP,JGI	HMBGC00000139	Others	14073.0	12.0
GCF_00002636	Skin_head,Skin_unclassified	3		HMP,JGI	HMBGC00000141	NRPS	13938.0	11.0
GCF_00002637	Urogenital_vagina	1		HMP	HMBGC00000142	NRPS	47886.0	27.0
GCF_00002638	Urogenital_vagina	1		HMP	HMBGC00000143	NRPS	2138.0	3.0
GCF_00002640	Urogenital_vagina	2		HMP	HMBGC00000144	NRPS	5756.5	3.0
GCF_00002641	Urogenital_vagina	1		HMP	HMBGC00000146	NRPS	1589.0	1.0
GCF_00002642	Skin_head	1		HMP	HMBGC00000147	NRPS	3673.0	4.0
GCF_00002647	Respiratory_upper,Skin_head	5		HMP	HMBGC00000152	NRPS	5912.8	5.4
GCF_00002648	Skin_head	1		HMP	HMBGC00000153	NRPS	8925.0	8.0
GCF_00002649	Skin_head	1		HMP	HMBGC00000154	NRPS	2625.0	1.0
GCF_00002650	Skin_head	1		HMP	HMBGC00000155	NRPS	2391.0	1.0
GCF_00002651	Skin_head	1		HMP	HMBGC00000156	NRPS	1619.0	1.0
GCF_00002652	Skin_head	1		HMP	HMBGC00000157	NRPS	1221.0	1.0
GCF_00002653	Skin_head	1		HMP	HMBGC00000158	NRPS	4770.0	2.0
GCF_00002654	Skin_head	2		HMP	HMBGC00000159	NRPS	3158.5	2.0
GCF_00002656	Skin_head	1		HMP	HMBGC00000161	NRPS	1298.0	1.0
GCF_00002661	Urogenital_vagina,Urogenital_unclassified	3		HMP,JGI	HMBGC00000166	NRPS	16420.0	17.0
GCF_00002666	Skin_head	3		HMP	HMBGC00000171	NRPS	11764.3	3.7
GCF_00002667	Skin_head	2		HMP	HMBGC00000167	NRPS	5307.5	1.5
GCF_00002669	Skin_head	1		HMP	HMBGC00000174	NRPS	5735.0	1.0
GCF_00002674	Skin_head	2		HMP	HMBGC00000176	NRPS	5347.5	1.0
GCF_00002675	Skin_head	1		HMP	HMBGC00000180	NRPS	2469.0	1.0
GCF_00002676	Skin_head	1		HMP	HMBGC00000181	NRPS	1892.0	1.0
GCF_00002679	Skin_head	3		HMP	HMBGC00000184	NRPS	5018.3	2.7
GCF_00002680	Skin_head	1		HMP	HMBGC00000185	NRPS	1577.0	1.0
GCF_00002681	Skin_head	1		HMP	HMBGC00000186	NRPS	2856.0	1.0
GCF_00002682	Skin_head	1		HMP	HMBGC00000187	NRPS	1381.0	1.0
GCF_00002683	Skin_head	1		HMP	HMBGC00000188	NRPS	31017.0	21.0
GCF_00002684	Skin_head	1		HMP	HMBGC00000189	NRPS	1881.0	1.0
GCF_00002685	Skin_head	1		HMP	HMBGC00000190	NRPS	1783.0	1.0
GCF_00002686	Skin_head	1		HMP	HMBGC00000191	NRPS	6320.0	1.0
GCF_00002688	Skin_head	2		HMP	HMBGC00000192	NRPS	3777.0	1.0
GCF_00002689	Skin_head	1		HMP	HMBGC00000194	NRPS	9298.0	3.0
GCF_00002690	Skin_head	1		HMP	HMBGC00000195	NRPS	4548.0	3.0
GCF_00002691	Skin_head	1		HMP	HMBGC00000196	NRPS	3652.0	2.0
GCF_00002692	Skin_head	1		HMP	HMBGC00000197	NRPS	1264.0	1.0
GCF_00002693	Skin_head	1		HMP	HMBGC00000198	NRPS	28821.0	18.0
GCF_00002694	Skin_head	1		HMP	HMBGC00000199	NRPS	1226.0	1.0
GCF_00002695	Skin_head	1		HMP	HMBGC00000200	NRPS	1375.0	1.0
GCF_00002696	Urogenital_vagina	1		HMP	HMBGC00000201	NRPS	1116.0	1.0
GCF_00002697	Skin_head	1		HMP	HMBGC00000202	NRPS	5489.0	2.0
GCF_00002698	Skin_head	1		HMP	HMBGC00000203	NRPS	1881.0	1.0
GCF_00002719	Skin_head,Respiratory_upper	20		HMP	HMBGC00000224	NRPS	15429.5	11.2
GCF_00002721	Respiratory_upper	1		HMP	HMBGC00000226	NRPS	2829.0	3.0
GCF_00002722	Urogenital_vagina	1		HMP	HMBGC00000227	NRPS	3254.0	2.0
GCF_00002723	Urogenital_vagina	1		HMP	HMBGC00000228	NRPS	1050.0	1.0
GCF_00002725	Respiratory_upper	1		HMP	HMBGC00000230	NRPS	10075.0	9.0
GCF_00002726	Respiratory_upper	1		HMP	HMBGC00000231	NRPS	2202.0	1.0
GCF_00002727	Respiratory_upper	1		HMP	HMBGC00000232	NRPS	1664.0	1.0
GCF_00002728	Respiratory_upper	1		HMP	HMBGC00000233	NRPS	1099.0	2.0
GCF_00002729	Respiratory_upper	1		HMP	HMBGC00000234	NRPS	4046.0	2.0
GCF_00002732	Respiratory_upper,Oral_unclassified	3		HMP,JGI	HMBGC00000237	NRPS	4905.0	3.3
GCF_00002736	Respiratory_upper,Oral_unclassified,Oral_plaque	5		HMP,JGI,NCBI_PRJNA28331	HMBGC00000241	NRPS	17855.0	11.2
GCF_00002737	Respiratory_upper	1		HMP	HMBGC00000242	NRPS	1553.0	1.0
GCF_00002738	Respiratory_upper	1		HMP	HMBGC00000243	NRPS	1458.0	1.0
GCF_00002739	Urogenital_vagina	1		HMP	HMBGC00000244	NRPS	33564.0	16.0
GCF_00002740	Urogenital_vagina	1		HMP	HMBGC00000245	NRPS	1516.0	1.0
GCF_00002741	Urogenital_vagina	1		HMP	HMBGC00000246	NRPS	3655.0	4.0
GCF_00002742	Urogenital_vagina	1		HMP	HMBGC00000247	NRPS	7268.0	6.0
GCF_00002743	Urogenital_vagina	1		HMP	HMBGC00000248	NRPS	1166.0	1.0
GCF_00002744	Urogenital_vagina	1		HMP	HMBGC00000249	NRPS	6218.0	7.0
GCF_00002750	Urogenital_vagina,Oral_unclassified,Oral_plaque	5		HMP,EBI,NCBI_PRJNA28331	HMBGC00000255	NRPS	24172.8	14.8
GCF_00002751	Urogenital_vagina	1		HMP	HMBGC00000256	NRPS	2374.0	1.0
GCF_00002752	Urogenital_vagina	1		HMP	HMBGC00000257	NRPS	3564.0	2.0
GCF_00002753	Urogenital_vagina,Oral_unclassified	2		HMP,JGI	HMBGC00000258	NRPS,Others	14779.5	9.5
GCF_00002754	Urogenital_vagina	1		HMP	HMBGC00000259	NRPS	2223.0	1.0
GCF_00002755	Urogenital_vagina	1		HMP	HMBGC00000260	NRPS	2462.0	1.0
GCF_00002756	Urogenital_vagina	1		HMP	HMBGC00000261	NRPS	1272.0	1.0
GCF_00002757	Urogenital_vagina	1		HMP	HMBGC00000262	NRPS	1605.0	1.0
GCF_00002765	Skin_head	1		HMP	HMBGC00000270	NRPS	2004.0	1.0
GCF_00002767	Skin_head	3		HMP	HMBGC00000272	NRPS	2725.0	1.0
GCF_00002769	Skin_head	4		HMP	HMBGC00000274	NRPS	4884.0	1.5
GCF_00002772	Skin_head	1		HMP	HMBGC00000277	NRPS	2608.0	1.0
