Genome	Genome_type	Length	N_contigs	N50	GC_content	Completeness	Contamination	rRNA_5S	rRNA_16S	rRNA_23S	tRNAs	Genome_accession	Species_rep	Lineage	Sample_accession	Study_accession	Country	Continent	FTP_download
MGYG000298013	MAG	1461482	28	160459	38.2	96.1	0.71	0.0	0.0	0.0	17	GCA_015256235	MGYG000298013	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Anaerovoracaceae;g__Eubacterium_M;s__Eubacterium_M brachy	SAMN14570735	SRP311368	USA	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-oral/v1.0/all_genomes/MGYG0002980/MGYG000298013/genomes1/MGYG000298013.gff.gz
MGYG000298020	MAG	1933992	291	7961	47.11	85.92	0.51	0.0	71.62	0.0	14	CAJPSJ01	MGYG000298020	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter_B;s__	ERS6080737	ERP127228	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-oral/v1.0/all_genomes/MGYG0002980/MGYG000298020/genomes1/MGYG000298020.gff.gz
MGYG000298021	MAG	1376551	599	2885	62.15	70.81	1.73	0.0	0.0	17.03	13	GCA_015257165	MGYG000298021	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Porphyromonas;s__	SAMN14570687	SRP311368	USA	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-oral/v1.0/all_genomes/MGYG0002980/MGYG000298021/genomes1/MGYG000298021.gff.gz
MGYG000298022	MAG	2249512	136	34054	65.43	94.74	0.71	93.28	14.61	17.03	20	GCA_015254965	MGYG000298022	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia sp000411415	SAMN14570798	SRP311368	USA	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-oral/v1.0/all_genomes/MGYG0002980/MGYG000298022/genomes1/MGYG000298022.gff.gz
MGYG000298023	MAG	2378985	189	20827	29.65	98.86	1.3	0.0	0.0	0.0	20	CAKAQG01	MGYG000298023	d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Leptotrichiaceae;g__Leptotrichia;s__Leptotrichia wadei_A	ERS7876796	ERP131993	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-oral/v1.0/all_genomes/MGYG0002980/MGYG000298023/genomes1/MGYG000298023.gff.gz
MGYG000298024	MAG	1498951	1	1498951	47.89	91.19	0.0	94.12	99.67	99.42	20	CAKAGI01	MGYG000298024	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Lancefieldella;s__	ERS7766700	DRP005925	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-oral/v1.0/all_genomes/MGYG0002980/MGYG000298024/genomes1/MGYG000298024.gff.gz
MGYG000298028	MAG	1266912	94	19915	36.38	91.43	0.95	0.0	18.07	0.0	20	CAJPRC01	MGYG000298028	d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Bulleidia;s__Bulleidia extructa	ERS6080710	ERP127228	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-oral/v1.0/all_genomes/MGYG0002980/MGYG000298028/genomes1/MGYG000298028.gff.gz
MGYG000298030	MAG	2027651	102	39481	42.8	97.09	0.5	0.0	0.0	99.79	20	CAJPKZ01	MGYG000298030	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Porphyromonas;s__Porphyromonas sp003640335	ERS6079592	ERP127558	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-oral/v1.0/all_genomes/MGYG0002980/MGYG000298030/genomes1/MGYG000298030.gff.gz
MGYG000298035	MAG	1656183	294	6870	37.91	74.56	0.63	0.0	0.0	0.0	7	CAJPPS01	MGYG000298035	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Capnocytophaga;s__	ERS6080673	ERP127228	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-oral/v1.0/all_genomes/MGYG0002980/MGYG000298035/genomes1/MGYG000298035.gff.gz
MGYG000298038	MAG	2126997	1	2126997	28.45	84.22	0.0	94.96	99.67	99.45	20	CAKAFQ01	MGYG000298038	d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Leptotrichiaceae;g__Leptotrichia;s__	ERS7766798	DRP005925	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-oral/v1.0/all_genomes/MGYG0002980/MGYG000298038/genomes1/MGYG000298038.gff.gz
